DATE,TRFVOLUSM227NFWA
1999-07-01,243116.0
1999-08-01,241503.0
1999-09-01,224306.0
1999-10-01,233631.0
1999-11-01,221856.0
1999-12-01,221465.0
2000-01-01,203442.0
2000-02-01,199261.0
2000-03-01,232490.0
2000-04-01,227698.0
2000-05-01,242501.0
2000-06-01,242963.0
2000-07-01,245140.0
2000-08-01,247832.0
2000-09-01,227899.0
2000-10-01,236491.0
2000-11-01,222819.0
2000-12-01,218390.0
2001-01-01,209685.0
2001-02-01,200876.0
2001-03-01,232587.0
2001-04-01,232513.0
2001-05-01,245357.0
2001-06-01,243498.0
2001-07-01,250363.0
2001-08-01,253274.0
2001-09-01,226312.0
2001-10-01,241050.0
2001-11-01,230511.0
2001-12-01,229584.0
2002-01-01,215215.0
2002-02-01,208237.0
2002-03-01,236070.0
2002-04-01,237226.0
2002-05-01,251746.0
2002-06-01,247868.0
2002-07-01,256392.0
2002-08-01,258666.0
2002-09-01,233625.0
2002-10-01,245556.0
2002-11-01,230648.0
2002-12-01,234260.0
2003-01-01,218534.0
2003-02-01,203677.0
2003-03-01,236679.0
2003-04-01,239415.0
2003-05-01,253244.0
2003-06-01,252145.0
2003-07-01,262105.0
2003-08-01,260687.0
2003-09-01,237451.0
2003-10-01,254048.0
2003-11-01,233698.0
2003-12-01,238538.0
2004-01-01,222450.0
2004-02-01,213709.0
2004-03-01,251403.0
2004-04-01,250968.0
2004-05-01,257235.0
2004-06-01,257383.0
2004-07-01,265969.0
2004-08-01,262836.0
2004-09-01,243515.0
2004-10-01,254496.0
2004-11-01,239796.0
2004-12-01,245029.0
2005-01-01,224072.0
2005-02-01,219970.0
2005-03-01,253182.0
2005-04-01,250860.0
2005-05-01,262678.0
2005-06-01,263816.0
2005-07-01,267025.0
2005-08-01,265323.0
2005-09-01,242240.0
2005-10-01,251419.0
2005-11-01,243056.0
2005-12-01,245787.0
2006-01-01,233282.0
2006-02-01,220711.0
2006-03-01,256623.0
2006-04-01,250644.0
2006-05-01,263370.0
2006-06-01,263782.0
2006-07-01,263421.0
2006-08-01,265206.0
2006-09-01,245605.0
2006-10-01,257939.0
2006-11-01,245346.0
2006-12-01,248187.0
2007-01-01,233621.0
2007-02-01,219232.0
2007-03-01,259638.0
2007-04-01,252595.0
2007-05-01,267574.0
2007-06-01,265374.0
2007-07-01,267106.0
2007-08-01,271225.0
2007-09-01,245965.0
2007-10-01,261423.0
2007-11-01,245787.0
2007-12-01,240281.0
2008-01-01,232920.0
2008-02-01,221336.0
2008-03-01,252343.0
2008-04-01,252088.0
2008-05-01,261466.0
2008-06-01,257484.0
2008-07-01,261600.0
2008-08-01,260609.0
2008-09-01,239607.0
2008-10-01,255848.0
2008-11-01,236465.0
2008-12-01,241742.0
2009-01-01,225529.0
2009-02-01,217643.0
2009-03-01,249741.0
2009-04-01,251374.0
2009-05-01,258276.0
2009-06-01,258395.0
2009-07-01,264472.0
2009-08-01,260297.0
2009-09-01,241970.0
2009-10-01,252209.0
2009-11-01,237264.0
2009-12-01,239593.0
2010-01-01,220839.0
2010-02-01,210635.0
2010-03-01,254238.0
2010-04-01,253936.0
2010-05-01,256927.0
2010-06-01,260083.0
2010-07-01,265315.0
2010-08-01,263837.0
2010-09-01,244682.0
2010-10-01,256395.0
2010-11-01,239579.0
2010-12-01,240800.0
2011-01-01,223790.0
2011-02-01,213463.0
2011-03-01,253124.0
2011-04-01,249578.0
2011-05-01,254083.0
2011-06-01,258350.0
2011-07-01,260175.0
2011-08-01,260526.0
2011-09-01,242062.0
2011-10-01,251906.0
2011-11-01,238535.0
2011-12-01,244810.0
2012-01-01,227527.0
2012-02-01,218196.0
2012-03-01,256166.0
2012-04-01,249394.0
2012-05-01,260774.0
2012-06-01,260376.0
2012-07-01,260244.0
2012-08-01,264379.0
2012-09-01,238867.0
2012-10-01,253574.0
2012-11-01,240361.0
2012-12-01,238709.0
2013-01-01,229419.0
2013-02-01,215803.0
2013-03-01,253026.0
2013-04-01,252064.0
2013-05-01,263406.0
2013-06-01,259980.0
2013-07-01,263946.0
2013-08-01,268061.0
2013-09-01,242536.0
2013-10-01,258748.0
2013-11-01,240055.0
2013-12-01,241237.0
2014-01-01,226413.0
2014-02-01,213949.0
2014-03-01,253424.0
2014-04-01,256736.0
2014-05-01,266237.0
